"replicate","true_h2","exact_h2","exact_se","sketch_h2","sketch_se","sketch_trace_se"
1,0.6,0.624441717297679,0.0367733290170975,0.634480075554154,0.0363192290199214,5.80987968328396
2,0.3,0.280846040329336,0.0441144173179331,0.285675692747394,0.0441405880295002,7.63627193211025
3,0.6,0.60611534045344,0.0371336905585987,0.605593124937434,0.0371571451245654,4.66375374233394
4,0.3,0.317770121221782,0.044598833409353,0.307336753981641,0.0446570182966479,5.42927472450041
5,0.6,0.664664548143948,0.0357075553105347,0.64708879786029,0.0366031655050277,4.52847096963425
6,0.3,0.342561526075289,0.0446434029404843,0.357495519706728,0.0445105542970234,7.54113883301885
7,0.6,0.617176926288396,0.0368255633259412,0.607110346700127,0.0372762201781094,4.42733413545392
8,0.3,0.335023726348029,0.0442677807116032,0.350119176302011,0.044279020013736,5.95612329248292
9,0.6,0.595248514407116,0.0377125242358852,0.600497600914621,0.0374913898279836,5.95173057176031
10,0.3,0.275608846891808,0.0444990002655703,0.286812393182414,0.0446135952942473,7.77912993174918
11,0.6,0.618935912730446,0.0372701739638753,0.620916086476257,0.0371749249609857,4.57028325321161
12,0.3,0.247755803904638,0.0436099770124625,0.242449373321359,0.0434849951227495,7.95081499471328
13,0.6,0.558660179055523,0.0390785858318654,0.563533610004111,0.0388970115632279,4.27416598092983
14,0.3,0.275817375266127,0.0443685806454796,0.255160701195736,0.0441904699836557,6.94940527981274
15,0.6,0.535638470128199,0.0399350729647644,0.537508856262914,0.0398724996110976,4.80490501549374
16,0.3,0.293151950763486,0.0449451730258802,0.286755097141951,0.0449619526486535,7.00589321183059
17,0.6,0.588570236043943,0.0392336615719079,0.58412769488837,0.0394250405682747,4.11803505733318
18,0.3,0.353709998527828,0.0440703811310997,0.370550245622036,0.0439218765786338,4.56164071227075
19,0.6,0.644950950074335,0.0361174638277483,0.637765163783303,0.0364732636575704,2.98539158613807
20,0.3,0.314259574683244,0.0441892927072358,0.311782056527899,0.0441828496542825,5.84512776995947
21,0.6,0.555192787663857,0.0394760615421147,0.550027193403081,0.0396587221792517,4.83018007116043
22,0.3,0.381648854215804,0.0426420127127157,0.382299294094433,0.0426370292598746,6.73468248804815
23,0.6,0.622779681059236,0.0380459569954856,0.620134736318459,0.0381732688251205,3.70903393231834
24,0.3,0.296367075144269,0.0444446418882572,0.292939732928402,0.0444137101088224,5.45704355226594
25,0.6,0.549955375161844,0.0389916075590464,0.559270472682177,0.0386539434875201,4.57690078485209
26,0.3,0.256864806729047,0.0449232681071328,0.24628594149785,0.0447831006474352,7.67332928755917
27,0.6,0.611009315708752,0.0375461732140933,0.597691622570998,0.038112946188417,4.67936560083219
28,0.3,0.297012242065603,0.044934604748318,0.307015340425491,0.0449450056807847,7.07071357576636
29,0.6,0.483347359690401,0.041722206726509,0.459072492754598,0.042327645769362,4.82816542314173
30,0.3,0.295484551768,0.0451266671238774,0.295634736691261,0.0451263240694416,8.01740247018559
31,0.6,0.607980418761356,0.0372295781639185,0.619239055591132,0.0367315133123545,4.17123889760389
32,0.3,0.32006161730314,0.0446991955018889,0.312061601808611,0.0447510007877292,6.48762090430989
33,0.6,0.626151154738348,0.0379543026469278,0.622824089667888,0.0381054400725438,5.4838546644252
34,0.3,0.2654002979598,0.0462048013728668,0.282289990438184,0.0461487904371272,6.31773322988479
35,0.6,0.613646412828224,0.0380224840453488,0.599250320875801,0.0386317405705935,3.25822530143632
36,0.3,0.2775547426444,0.0448334564699803,0.279736659770688,0.0448441404328423,6.66243224531464
37,0.6,0.552651211199173,0.039731418404272,0.549784792606737,0.0398426349767159,3.66508547203058
38,0.3,0.363843980107133,0.0444004053663356,0.36100581436238,0.0444326655936688,6.37175979402557
39,0.6,0.562792170159796,0.0400850868441615,0.557511388865298,0.040281549156494,5.4153237575138
40,0.3,0.33270847119142,0.0447626676516128,0.314975467234391,0.0449033392058667,5.6305118147648
